,borough,block,lot,lat,lng,address
0,Manhattan,2,2,40.7010846,-74.012248,"10 South St, New York, NY 10004, USA"
1,Manhattan,8,39,40.7031757,-74.0125487,"1 Moore St, New York, NY 10004, USA"
2,Manhattan,9,14,40.7030384,-74.0139773,"2 Pearl St, New York, NY 10004, USA"
3,Manhattan,10,14,40.7035447,-74.0124856,"24 Bridge St, New York, NY 10004, USA"
4,Manhattan,10,16,40.703729,-74.0121401,"33 Bridge St, New York, NY 10004, USA"
5,Manhattan,10,23,40.7037199,-74.0124492,"23 Bridge St, New York, NY 10004, USA"
6,Manhattan,10,33,40.7037305,-74.0122388,"29 Bridge St, New York, NY 10004, USA"
7,Manhattan,11,21,40.7042997,-74.0119475,"86 Broad St, New York, NY 10004, USA"
8,Manhattan,13,1,40.7013972,-74.0148566,"1 Battery Pl, New York, NY 10004, USA"
9,Manhattan,15,22,40.7067959,-74.0168007,"23 West St, New York, NY 10280, USA"
10,Manhattan,16,15,40.7066593,-74.0179414,"50 Battery Pl, New York, NY 10280, USA"
11,Manhattan,16,20,40.7074532,-74.0175773,"70 Battery Pl, New York, NY 10280, USA"
12,Manhattan,16,140,40.7132225,-74.0155468,"220 Vesey St, New York, NY 10080, USA"
13,Manhattan,16,200,Not Found,,
14,Manhattan,16,205,40.7173714,-74.0145427,"455 North End Ave, New York, NY 10282, USA"
15,Manhattan,16,221,40.7170704,-74.0140474,"450 North End Ave, New York, NY 10282, USA"
16,Manhattan,16,225,40.7145745,-74.0168839,"1 North End Ave, New York, NY 10282, USA"
17,Manhattan,20,1,40.7061754,-74.0131034,"33 Broadway, New York, NY 10006, USA"
18,Manhattan,21,1,40.7070853,-74.0125526,"61 Broadway, New York, NY 10006, USA"
19,Manhattan,21,4,40.7071762,-74.0124086,"65 Broadway, New York, NY 10006, USA"
20,Manhattan,22,13,40.7051591,-74.0127541,"11 Beaver St, New York, NY 10004, USA"
21,Manhattan,22,17,40.7058715,-74.0129819,"32 Broadway, New York, NY 10006, USA"
22,Manhattan,22,20,40.705974,-74.0126146,"42 Broadway, New York, NY 10004, USA"
23,Manhattan,22,28,40.7066799,-74.01234,"56 Broadway, New York, NY 10004, USA"
24,Manhattan,23,50,40.7064241,-74.0111765,"26 Broad St, New York, NY 10005, USA"
25,Manhattan,24,29,40.7060688,-74.011712,"36 Broad St, New York, NY 10004, USA"
26,Manhattan,25,1,40.7051333,-74.0108551,"49 Beaver St, New York, NY 10004, USA"
27,Manhattan,25,19,Not Found,,
28,Manhattan,25,27,40.705783,-74.0103346,"42 Exchange Pl, New York, NY 10005, USA"
29,Manhattan,26,14,40.706233,-74.0105696,"49 Exchange Pl, New York, NY 10005, USA"
30,Manhattan,26,21,40.705987,-74.010097,"41 Exchange Pl, New York, NY 10005, USA"
31,Manhattan,27,9,40.7054324,-74.0088156,"83 Beaver St, New York, NY 10005, USA"
32,Manhattan,27,17,40.7054931,-74.0082902,"95 Beaver St, New York, NY 10005, USA"
33,Manhattan,28,12,40.7052355,-74.0088284,"78 Beaver St, New York, NY 10005, USA"
34,Manhattan,29,1,40.7039926,-74.01109,"89 Broad St, New York, NY 10004, USA"
35,Manhattan,30,19,40.7046443,-74.0094933,"9 Hanover Square, New York, NY 10004, USA"
36,Manhattan,34,37,40.703491,-74.0081529,"100 Old Slip, New York, NY 10005, USA"
37,Manhattan,35,1,40.7037373,-74.0077157,"32 Old Slip, New York, NY 10005, USA"
38,Manhattan,35,10,40.7047997,-74.0069527,"113 Front St, New York, NY 10005, USA"
39,Manhattan,37,8,40.7051806,-74.006402,"127 Front St, New York, NY 10005, USA"
40,Manhattan,37,13,40.7053211,-74.0061943,"131 Front St, New York, NY 10005, USA"
41,Manhattan,37,23,40.7057977,-74.0055163,"151 Front St, New York, NY 10038, USA"
42,Manhattan,39,38,40.7055913,-74.007255,"126 Water St, New York, NY 11201, USA"
43,Manhattan,40,14,40.7065665,-74.0090428,"50 Wall St, New York, NY 10005, USA"
44,Manhattan,40,16,40.7066937,-74.0090225,"49 Pine St, New York, NY 10005, USA"
45,Manhattan,42,1,40.706724,-74.0073831,"7 Cedar St, New York, NY 10005, USA"
46,Manhattan,42,22,40.7072556,-74.0082281,"37 Cedar St, New York, NY 10005, USA"
47,Manhattan,42,31,40.7070857,-74.0080807,"25 Cedar St, New York, NY 10005, USA"
48,Manhattan,43,1,40.7069871,-74.0089904,"45 Pine St, New York, NY 10005, USA"
49,Manhattan,43,5,40.7071992,-74.0099622,"23 Pine St, New York, NY 10005, USA"
50,Manhattan,44,1,40.7077585,-74.0088503,"One Chase Manhattan Plaza, New York, NY 10005, USA"
51,Manhattan,46,3,40.7079934,-74.0110538,"100 Broadway, New York, NY 10005, USA"
52,Manhattan,49,2,40.7087124,-74.011112,"113 Broadway, New York, NY 10006, USA"
53,Manhattan,50,1,40.708755,-74.0111327,"119 Broadway, New York, NY 10006, USA"
54,Manhattan,51,15,40.7090746,-74.0125595,"16 Thames St, New York, NY 10006, USA"
55,Manhattan,52,1,40.7095408,-74.0127065,"118 Cedar St, New York, NY 10006, USA"
56,Manhattan,52,21,40.7097165,-74.0125469,"125 Cedar St, New York, NY 10006, USA"
57,Manhattan,53,2,40.7080798,-74.0136922,"24 Rector St, New York, NY 10006, USA"
58,Manhattan,53,33,40.7086785,-74.0134206,"2 Carlisle St, New York, NY 10006, USA"
59,Manhattan,55,14,40.7091164,-74.0146515,"75 West St, New York, NY 10006, USA"
60,Manhattan,56,1,40.7098091,-74.0141463,"19 Albany St, New York, NY 10006, USA"
61,Manhattan,63,3,40.7101968,-74.0105606,"22 Cortlandt St, New York, NY 10007, USA"
62,Manhattan,64,1,40.7091618,-74.0091709,"20 Maiden Ln, New York, NY 10038, USA"
63,Manhattan,64,15,40.70952,-74.0100594,"164 Broadway, New York, NY 10038, USA"
64,Manhattan,65,7,40.7097593,-74.0089995,"18 John St, New York, NY 10038, USA"
65,Manhattan,65,10,40.7095383,-74.0091883,"13 Maiden Ln, New York, NY 10038, USA"
66,Manhattan,65,24,40.7095847,-74.0087404,"24 John St, New York, NY 10038, USA"
67,Manhattan,66,1,40.7085895,-74.0093332,"51 Liberty St, New York, NY 10038, USA"
68,Manhattan,67,1,40.708645,-74.0074368,"68 John St, New York, NY 10038, USA"
69,Manhattan,67,23,40.7083663,-74.008653,"33 Liberty St, New York, NY 10045, USA"
70,Manhattan,68,7,40.7076479,-74.00715,"7 Gold St, New York, NY 10038, USA"
71,Manhattan,68,28,40.7078815,-74.0071288,"15 Gold St, New York, NY 10038, USA"
72,Manhattan,69,18,40.7071574,-74.0071169,"14 Gold St, New York, NY 10038, USA"
73,Manhattan,69,30,40.7075192,-74.0065441,"10 Platt St, New York, NY 10038, USA"
74,Manhattan,69,32,40.7074122,-74.005788,"120 John St, New York, NY 10038, USA"
75,Manhattan,70,32,40.7068915,-74.0053645,"138 John St, New York, NY 10038, USA"
76,Manhattan,70,43,40.7068748,-74.0057077,"10 Fletcher St, New York, NY 10038, USA"
